,location_id,location_name,year_id,indicator_id,indicator_name,age_group_id,age_group_name,sex_id,sex_label,scenario,scenario_label,indicator_short,indicator_description,mean_estimate
0,14,Maldives,2024,1000,HIV incidence rate,22,All Ages,1,Males,-1,Worse,HIV Incid,"Age-standardized rate of new HIV infections (per 1,000).",0.0060581512388605
1,14,Maldives,2024,1000,HIV incidence rate,22,All Ages,1,Males,0,Reference,HIV Incid,"Age-standardized rate of new HIV infections (per 1,000).",0.0060568445580235
2,14,Maldives,2024,1000,HIV incidence rate,22,All Ages,1,Males,1,Better,HIV Incid,"Age-standardized rate of new HIV infections (per 1,000).",0.00589363672263
3,14,Maldives,2024,1000,HIV incidence rate,22,All Ages,2,Females,-1,Worse,HIV Incid,"Age-standardized rate of new HIV infections (per 1,000).",0.0052542506296859
4,14,Maldives,2024,1000,HIV incidence rate,22,All Ages,2,Females,0,Reference,HIV Incid,"Age-standardized rate of new HIV infections (per 1,000).",0.0052531333015453
5,14,Maldives,2024,1000,HIV incidence rate,22,All Ages,2,Females,1,Better,HIV Incid,"Age-standardized rate of new HIV infections (per 1,000).",0.0051139378610602
6,14,Maldives,2024,1000,HIV incidence rate,22,All Ages,3,Both sexes,-1,Worse,HIV Incid,"Age-standardized rate of new HIV infections (per 1,000).",0.0057452929599158
7,14,Maldives,2024,1000,HIV incidence rate,22,All Ages,3,Both sexes,0,Reference,HIV Incid,"Age-standardized rate of new HIV infections (per 1,000).",0.0057440599704755
8,14,Maldives,2024,1000,HIV incidence rate,22,All Ages,3,Both sexes,1,Better,HIV Incid,"Age-standardized rate of new HIV infections (per 1,000).",0.0055901971666178
9,14,Maldives,2024,1001,Tuberculosis incidence rate,22,All Ages,1,Males,-1,Worse,TB Incid,"Age-standardized rate of tuberculosis cases (per 100,000).",50.943354014066365
10,14,Maldives,2024,1001,Tuberculosis incidence rate,22,All Ages,1,Males,0,Reference,TB Incid,"Age-standardized rate of tuberculosis cases (per 100,000).",47.04737275448558
11,14,Maldives,2024,1001,Tuberculosis incidence rate,22,All Ages,1,Males,1,Better,TB Incid,"Age-standardized rate of tuberculosis cases (per 100,000).",45.6920112161804
12,14,Maldives,2024,1001,Tuberculosis incidence rate,22,All Ages,2,Females,-1,Worse,TB Incid,"Age-standardized rate of tuberculosis cases (per 100,000).",47.10009144396464
13,14,Maldives,2024,1001,Tuberculosis incidence rate,22,All Ages,2,Females,0,Reference,TB Incid,"Age-standardized rate of tuberculosis cases (per 100,000).",43.10852254610291
14,14,Maldives,2024,1001,Tuberculosis incidence rate,22,All Ages,2,Females,1,Better,TB Incid,"Age-standardized rate of tuberculosis cases (per 100,000).",41.77694182783378
15,14,Maldives,2024,1001,Tuberculosis incidence rate,22,All Ages,3,Both sexes,-1,Worse,TB Incid,"Age-standardized rate of tuberculosis cases (per 100,000).",49.52186070415403
16,14,Maldives,2024,1001,Tuberculosis incidence rate,22,All Ages,3,Both sexes,0,Reference,TB Incid,"Age-standardized rate of tuberculosis cases (per 100,000).",45.58278953317982
17,14,Maldives,2024,1001,Tuberculosis incidence rate,22,All Ages,3,Both sexes,1,Better,TB Incid,"Age-standardized rate of tuberculosis cases (per 100,000).",44.23473399802811
18,14,Maldives,2024,1002,Malaria incidence rate,22,All Ages,1,Males,-1,Worse,Malaria Incid,"Age-standardized rate of malaria cases (per 1,000).",0.0
19,14,Maldives,2024,1002,Malaria incidence rate,22,All Ages,1,Males,0,Reference,Malaria Incid,"Age-standardized rate of malaria cases (per 1,000).",0.0
20,14,Maldives,2024,1002,Malaria incidence rate,22,All Ages,1,Males,1,Better,Malaria Incid,"Age-standardized rate of malaria cases (per 1,000).",0.0
21,14,Maldives,2024,1002,Malaria incidence rate,22,All Ages,2,Females,-1,Worse,Malaria Incid,"Age-standardized rate of malaria cases (per 1,000).",0.0
22,14,Maldives,2024,1002,Malaria incidence rate,22,All Ages,2,Females,0,Reference,Malaria Incid,"Age-standardized rate of malaria cases (per 1,000).",0.0
23,14,Maldives,2024,1002,Malaria incidence rate,22,All Ages,2,Females,1,Better,Malaria Incid,"Age-standardized rate of malaria cases (per 1,000).",0.0
24,14,Maldives,2024,1002,Malaria incidence rate,22,All Ages,3,Both sexes,-1,Worse,Malaria Incid,"Age-standardized rate of malaria cases (per 1,000).",0.0
25,14,Maldives,2024,1002,Malaria incidence rate,22,All Ages,3,Both sexes,0,Reference,Malaria Incid,"Age-standardized rate of malaria cases (per 1,000).",0.0
26,14,Maldives,2024,1002,Malaria incidence rate,22,All Ages,3,Both sexes,1,Better,Malaria Incid,"Age-standardized rate of malaria cases (per 1,000).",0.0
