,location_id,location_name,year_id,indicator_id,indicator_name,age_group_id,age_group_name,sex_id,sex_label,scenario,scenario_label,indicator_short,indicator_description,mean_estimate
0,136,Paraguay,2024,1000,HIV incidence rate,22,All Ages,1,Males,-1,Worse,HIV Incid,"Age-standardized rate of new HIV infections (per 1,000).",0.193730877166402
1,136,Paraguay,2024,1000,HIV incidence rate,22,All Ages,1,Males,0,Reference,HIV Incid,"Age-standardized rate of new HIV infections (per 1,000).",0.185094456646021
2,136,Paraguay,2024,1000,HIV incidence rate,22,All Ages,1,Males,1,Better,HIV Incid,"Age-standardized rate of new HIV infections (per 1,000).",0.175790422985235
3,136,Paraguay,2024,1000,HIV incidence rate,22,All Ages,2,Females,-1,Worse,HIV Incid,"Age-standardized rate of new HIV infections (per 1,000).",0.0983862956594738
4,136,Paraguay,2024,1000,HIV incidence rate,22,All Ages,2,Females,0,Reference,HIV Incid,"Age-standardized rate of new HIV infections (per 1,000).",0.0939674521127536
5,136,Paraguay,2024,1000,HIV incidence rate,22,All Ages,2,Females,1,Better,HIV Incid,"Age-standardized rate of new HIV infections (per 1,000).",0.0892755951386314
6,136,Paraguay,2024,1000,HIV incidence rate,22,All Ages,3,Both sexes,-1,Worse,HIV Incid,"Age-standardized rate of new HIV infections (per 1,000).",0.146474036165069
7,136,Paraguay,2024,1000,HIV incidence rate,22,All Ages,3,Both sexes,0,Reference,HIV Incid,"Age-standardized rate of new HIV infections (per 1,000).",0.139928026670727
8,136,Paraguay,2024,1000,HIV incidence rate,22,All Ages,3,Both sexes,1,Better,HIV Incid,"Age-standardized rate of new HIV infections (per 1,000).",0.132909984483257
9,136,Paraguay,2024,1001,Tuberculosis incidence rate,22,All Ages,1,Males,-1,Worse,TB Incid,"Age-standardized rate of tuberculosis cases (per 100,000).",41.79830670579202
10,136,Paraguay,2024,1001,Tuberculosis incidence rate,22,All Ages,1,Males,0,Reference,TB Incid,"Age-standardized rate of tuberculosis cases (per 100,000).",40.52410881645056
11,136,Paraguay,2024,1001,Tuberculosis incidence rate,22,All Ages,1,Males,1,Better,TB Incid,"Age-standardized rate of tuberculosis cases (per 100,000).",37.34668812838786
12,136,Paraguay,2024,1001,Tuberculosis incidence rate,22,All Ages,2,Females,-1,Worse,TB Incid,"Age-standardized rate of tuberculosis cases (per 100,000).",22.215947097376905
13,136,Paraguay,2024,1001,Tuberculosis incidence rate,22,All Ages,2,Females,0,Reference,TB Incid,"Age-standardized rate of tuberculosis cases (per 100,000).",21.472636434197977
14,136,Paraguay,2024,1001,Tuberculosis incidence rate,22,All Ages,2,Females,1,Better,TB Incid,"Age-standardized rate of tuberculosis cases (per 100,000).",19.67129374624855
15,136,Paraguay,2024,1001,Tuberculosis incidence rate,22,All Ages,3,Both sexes,-1,Worse,TB Incid,"Age-standardized rate of tuberculosis cases (per 100,000).",32.111829089825235
16,136,Paraguay,2024,1001,Tuberculosis incidence rate,22,All Ages,3,Both sexes,0,Reference,TB Incid,"Age-standardized rate of tuberculosis cases (per 100,000).",31.10050015053457
17,136,Paraguay,2024,1001,Tuberculosis incidence rate,22,All Ages,3,Both sexes,1,Better,TB Incid,"Age-standardized rate of tuberculosis cases (per 100,000).",28.603902341953003
18,136,Paraguay,2024,1002,Malaria incidence rate,22,All Ages,1,Males,-1,Worse,Malaria Incid,"Age-standardized rate of malaria cases (per 1,000).",0.0
19,136,Paraguay,2024,1002,Malaria incidence rate,22,All Ages,1,Males,0,Reference,Malaria Incid,"Age-standardized rate of malaria cases (per 1,000).",0.0
20,136,Paraguay,2024,1002,Malaria incidence rate,22,All Ages,1,Males,1,Better,Malaria Incid,"Age-standardized rate of malaria cases (per 1,000).",0.0
21,136,Paraguay,2024,1002,Malaria incidence rate,22,All Ages,2,Females,-1,Worse,Malaria Incid,"Age-standardized rate of malaria cases (per 1,000).",0.0
22,136,Paraguay,2024,1002,Malaria incidence rate,22,All Ages,2,Females,0,Reference,Malaria Incid,"Age-standardized rate of malaria cases (per 1,000).",0.0
23,136,Paraguay,2024,1002,Malaria incidence rate,22,All Ages,2,Females,1,Better,Malaria Incid,"Age-standardized rate of malaria cases (per 1,000).",0.0
24,136,Paraguay,2024,1002,Malaria incidence rate,22,All Ages,3,Both sexes,-1,Worse,Malaria Incid,"Age-standardized rate of malaria cases (per 1,000).",0.0
25,136,Paraguay,2024,1002,Malaria incidence rate,22,All Ages,3,Both sexes,0,Reference,Malaria Incid,"Age-standardized rate of malaria cases (per 1,000).",0.0
26,136,Paraguay,2024,1002,Malaria incidence rate,22,All Ages,3,Both sexes,1,Better,Malaria Incid,"Age-standardized rate of malaria cases (per 1,000).",0.0
27,136,Paraguay,2024,1004,Prevalence of 15 neglected tropical diseases,22,All Ages,1,Males,-1,Worse,NTD Prev,Age-standardized prevalence of 15 neglected tropical diseases (NTDs). Prevalence estimates reported here may exceed 100% as they reflect the sum of prevalent cases of 15 NTDs.,13526.398468913389
28,136,Paraguay,2024,1004,Prevalence of 15 neglected tropical diseases,22,All Ages,1,Males,0,Reference,NTD Prev,Age-standardized prevalence of 15 neglected tropical diseases (NTDs). Prevalence estimates reported here may exceed 100% as they reflect the sum of prevalent cases of 15 NTDs.,12686.762129654864
29,136,Paraguay,2024,1004,Prevalence of 15 neglected tropical diseases,22,All Ages,1,Males,1,Better,NTD Prev,Age-standardized prevalence of 15 neglected tropical diseases (NTDs). Prevalence estimates reported here may exceed 100% as they reflect the sum of prevalent cases of 15 NTDs.,11083.837215966418
30,136,Paraguay,2024,1004,Prevalence of 15 neglected tropical diseases,22,All Ages,2,Females,-1,Worse,NTD Prev,Age-standardized prevalence of 15 neglected tropical diseases (NTDs). Prevalence estimates reported here may exceed 100% as they reflect the sum of prevalent cases of 15 NTDs.,13144.394430153605
31,136,Paraguay,2024,1004,Prevalence of 15 neglected tropical diseases,22,All Ages,2,Females,0,Reference,NTD Prev,Age-standardized prevalence of 15 neglected tropical diseases (NTDs). Prevalence estimates reported here may exceed 100% as they reflect the sum of prevalent cases of 15 NTDs.,12328.27779855172
32,136,Paraguay,2024,1004,Prevalence of 15 neglected tropical diseases,22,All Ages,2,Females,1,Better,NTD Prev,Age-standardized prevalence of 15 neglected tropical diseases (NTDs). Prevalence estimates reported here may exceed 100% as they reflect the sum of prevalent cases of 15 NTDs.,10817.72213177046
33,136,Paraguay,2024,1004,Prevalence of 15 neglected tropical diseases,22,All Ages,3,Both sexes,-1,Worse,NTD Prev,Age-standardized prevalence of 15 neglected tropical diseases (NTDs). Prevalence estimates reported here may exceed 100% as they reflect the sum of prevalent cases of 15 NTDs.,13337.43904509864
34,136,Paraguay,2024,1004,Prevalence of 15 neglected tropical diseases,22,All Ages,3,Both sexes,0,Reference,NTD Prev,Age-standardized prevalence of 15 neglected tropical diseases (NTDs). Prevalence estimates reported here may exceed 100% as they reflect the sum of prevalent cases of 15 NTDs.,12509.441763542744
35,136,Paraguay,2024,1004,Prevalence of 15 neglected tropical diseases,22,All Ages,3,Both sexes,1,Better,NTD Prev,Age-standardized prevalence of 15 neglected tropical diseases (NTDs). Prevalence estimates reported here may exceed 100% as they reflect the sum of prevalent cases of 15 NTDs.,10952.208721839035
36,136,Paraguay,2024,1035,Met need for family planning with modern contraception methods,24,15-49 years,2,Females,-1,Worse,"FP Need Met, Mod",Proportion of women of reproductive age (15 to 49 years) who have their need for family planning met with modern contraception methods.,83.09036628366563
37,136,Paraguay,2024,1035,Met need for family planning with modern contraception methods,24,15-49 years,2,Females,0,Reference,"FP Need Met, Mod",Proportion of women of reproductive age (15 to 49 years) who have their need for family planning met with modern contraception methods.,83.9748788143831
38,136,Paraguay,2024,1035,Met need for family planning with modern contraception methods,24,15-49 years,2,Females,1,Better,"FP Need Met, Mod",Proportion of women of reproductive age (15 to 49 years) who have their need for family planning met with modern contraception methods.,84.12739360168541
39,136,Paraguay,2024,1037,"Coverage of essential health services, as defined by the UHC service coverage index",22,All Ages,3,Both sexes,-1,Worse,UHC Index,"Coverage of essential health services, as defined by a universal health coverage (UHC) service coverage index of based on 9 tracer interventions and risk-standardized death rates or mortality-to-incidence ratios from 32 causes amenable to healthcare.",57.141157694528
40,136,Paraguay,2024,1037,"Coverage of essential health services, as defined by the UHC service coverage index",22,All Ages,3,Both sexes,0,Reference,UHC Index,"Coverage of essential health services, as defined by a universal health coverage (UHC) service coverage index of based on 9 tracer interventions and risk-standardized death rates or mortality-to-incidence ratios from 32 causes amenable to healthcare.",57.9051308026475
41,136,Paraguay,2024,1037,"Coverage of essential health services, as defined by the UHC service coverage index",22,All Ages,3,Both sexes,1,Better,UHC Index,"Coverage of essential health services, as defined by a universal health coverage (UHC) service coverage index of based on 9 tracer interventions and risk-standardized death rates or mortality-to-incidence ratios from 32 causes amenable to healthcare.",58.4348030211668
42,136,Paraguay,2024,1040,Under-5 mortality rate,1,Under 5,1,Males,-1,Worse,Under-5 Mort,"Under-5 mortality rate (probability of dying before the age of 5 years per 1,000 live births).",15.7510666118047
43,136,Paraguay,2024,1040,Under-5 mortality rate,1,Under 5,1,Males,0,Reference,Under-5 Mort,"Under-5 mortality rate (probability of dying before the age of 5 years per 1,000 live births).",15.48774768154938
44,136,Paraguay,2024,1040,Under-5 mortality rate,1,Under 5,1,Males,1,Better,Under-5 Mort,"Under-5 mortality rate (probability of dying before the age of 5 years per 1,000 live births).",14.96686829418766
45,136,Paraguay,2024,1040,Under-5 mortality rate,1,Under 5,2,Females,-1,Worse,Under-5 Mort,"Under-5 mortality rate (probability of dying before the age of 5 years per 1,000 live births).",13.421080321414111
46,136,Paraguay,2024,1040,Under-5 mortality rate,1,Under 5,2,Females,0,Reference,Under-5 Mort,"Under-5 mortality rate (probability of dying before the age of 5 years per 1,000 live births).",13.14926857757818
47,136,Paraguay,2024,1040,Under-5 mortality rate,1,Under 5,2,Females,1,Better,Under-5 Mort,"Under-5 mortality rate (probability of dying before the age of 5 years per 1,000 live births).",12.726164099924077
48,136,Paraguay,2024,1040,Under-5 mortality rate,1,Under 5,3,Both sexes,-1,Worse,Under-5 Mort,"Under-5 mortality rate (probability of dying before the age of 5 years per 1,000 live births).",14.62784776129628
49,136,Paraguay,2024,1040,Under-5 mortality rate,1,Under 5,3,Both sexes,0,Reference,Under-5 Mort,"Under-5 mortality rate (probability of dying before the age of 5 years per 1,000 live births).",14.35935117263363
50,136,Paraguay,2024,1040,Under-5 mortality rate,1,Under 5,3,Both sexes,1,Better,Under-5 Mort,"Under-5 mortality rate (probability of dying before the age of 5 years per 1,000 live births).",13.886044731200093
51,136,Paraguay,2024,1041,Neonatal mortality rate,42,Neonatal,1,Males,-1,Worse,Neonatal Mort,"Neonatal mortality rate (probability of dying during the first 28 days of life per 1,000 live births).",7.665957850180034
52,136,Paraguay,2024,1041,Neonatal mortality rate,42,Neonatal,1,Males,0,Reference,Neonatal Mort,"Neonatal mortality rate (probability of dying during the first 28 days of life per 1,000 live births).",7.610944615585665
53,136,Paraguay,2024,1041,Neonatal mortality rate,42,Neonatal,1,Males,1,Better,Neonatal Mort,"Neonatal mortality rate (probability of dying during the first 28 days of life per 1,000 live births).",7.255416278729184
54,136,Paraguay,2024,1041,Neonatal mortality rate,42,Neonatal,2,Females,-1,Worse,Neonatal Mort,"Neonatal mortality rate (probability of dying during the first 28 days of life per 1,000 live births).",5.862384337035415
55,136,Paraguay,2024,1041,Neonatal mortality rate,42,Neonatal,2,Females,0,Reference,Neonatal Mort,"Neonatal mortality rate (probability of dying during the first 28 days of life per 1,000 live births).",5.816822722655627
56,136,Paraguay,2024,1041,Neonatal mortality rate,42,Neonatal,2,Females,1,Better,Neonatal Mort,"Neonatal mortality rate (probability of dying during the first 28 days of life per 1,000 live births).",5.538089421394042
57,136,Paraguay,2024,1041,Neonatal mortality rate,42,Neonatal,3,Both sexes,-1,Worse,Neonatal Mort,"Neonatal mortality rate (probability of dying during the first 28 days of life per 1,000 live births).",6.787272455636995
58,136,Paraguay,2024,1041,Neonatal mortality rate,42,Neonatal,3,Both sexes,0,Reference,Neonatal Mort,"Neonatal mortality rate (probability of dying during the first 28 days of life per 1,000 live births).",6.737070287047925
59,136,Paraguay,2024,1041,Neonatal mortality rate,42,Neonatal,3,Both sexes,1,Better,Neonatal Mort,"Neonatal mortality rate (probability of dying during the first 28 days of life per 1,000 live births).",6.419386654745608
60,136,Paraguay,2024,1044,Prevalence of child stunting,1,Under 5,1,Males,-1,Worse,Child Stunting,Prevalence of stunting among children under 5 years.,8.99431309
61,136,Paraguay,2024,1044,Prevalence of child stunting,1,Under 5,1,Males,0,Reference,Child Stunting,Prevalence of stunting among children under 5 years.,8.095326628
62,136,Paraguay,2024,1044,Prevalence of child stunting,1,Under 5,1,Males,1,Better,Child Stunting,Prevalence of stunting among children under 5 years.,8.095326628
63,136,Paraguay,2024,1044,Prevalence of child stunting,1,Under 5,2,Females,-1,Worse,Child Stunting,Prevalence of stunting among children under 5 years.,6.045606444
64,136,Paraguay,2024,1044,Prevalence of child stunting,1,Under 5,2,Females,0,Reference,Child Stunting,Prevalence of stunting among children under 5 years.,5.620896604
65,136,Paraguay,2024,1044,Prevalence of child stunting,1,Under 5,2,Females,1,Better,Child Stunting,Prevalence of stunting among children under 5 years.,5.620896604
66,136,Paraguay,2024,1044,Prevalence of child stunting,1,Under 5,3,Both sexes,-1,Worse,Child Stunting,Prevalence of stunting among children under 5 years.,7.566597659
67,136,Paraguay,2024,1044,Prevalence of child stunting,1,Under 5,3,Both sexes,0,Reference,Child Stunting,Prevalence of stunting among children under 5 years.,6.897248169
68,136,Paraguay,2024,1044,Prevalence of child stunting,1,Under 5,3,Both sexes,1,Better,Child Stunting,Prevalence of stunting among children under 5 years.,6.897248169
69,136,Paraguay,2024,1051,Risk-weighted prevalence of populations using unsafe sanitation,22,All Ages,3,Both sexes,-1,Worse,Sanitation,"Risk-weighted prevalence of populations using unsafe or unimproved sanitation, as measured by the summary exposure value (SEV) for unsafe sanitation.",52.40844881
70,136,Paraguay,2024,1051,Risk-weighted prevalence of populations using unsafe sanitation,22,All Ages,3,Both sexes,0,Reference,Sanitation,"Risk-weighted prevalence of populations using unsafe or unimproved sanitation, as measured by the summary exposure value (SEV) for unsafe sanitation.",52.57527438
71,136,Paraguay,2024,1051,Risk-weighted prevalence of populations using unsafe sanitation,22,All Ages,3,Both sexes,1,Better,Sanitation,"Risk-weighted prevalence of populations using unsafe or unimproved sanitation, as measured by the summary exposure value (SEV) for unsafe sanitation.",55.15496114
72,136,Paraguay,2024,1218,Maternal mortality ratio (WHO),24,15-49 years,2,Females,-1,Worse,Mat Mort Ratio,"Maternal mortality ratio (maternal deaths among women aged 15-49 years per 100,000 live births) without late cause deaths.",103.1406988950286
73,136,Paraguay,2024,1218,Maternal mortality ratio (WHO),24,15-49 years,2,Females,0,Reference,Mat Mort Ratio,"Maternal mortality ratio (maternal deaths among women aged 15-49 years per 100,000 live births) without late cause deaths.",96.6976985190858
74,136,Paraguay,2024,1218,Maternal mortality ratio (WHO),24,15-49 years,2,Females,1,Better,Mat Mort Ratio,"Maternal mortality ratio (maternal deaths among women aged 15-49 years per 100,000 live births) without late cause deaths.",83.63007270000142
75,136,Paraguay,2024,1222,Coverage of DPT3,22,All Ages,3,Both sexes,-1,Worse,Vaccine Cov DPT3,Coverage of DPT3 vaccine.,72.84334529073563
76,136,Paraguay,2024,1222,Coverage of DPT3,22,All Ages,3,Both sexes,0,Reference,Vaccine Cov DPT3,Coverage of DPT3 vaccine.,79.87177467489471
77,136,Paraguay,2024,1222,Coverage of DPT3,22,All Ages,3,Both sexes,1,Better,Vaccine Cov DPT3,Coverage of DPT3 vaccine.,86.99514200955146
78,136,Paraguay,2024,1223,Coverage of measles (two doses),22,All Ages,3,Both sexes,-1,Worse,Vaccine Cov MCV2,Coverage of measles vaccine (two doses).,68.05349684361786
79,136,Paraguay,2024,1223,Coverage of measles (two doses),22,All Ages,3,Both sexes,0,Reference,Vaccine Cov MCV2,Coverage of measles vaccine (two doses).,83.88376531755281
