,location_id,location_name,year_id,indicator_id,indicator_name,age_group_id,age_group_name,sex_id,sex_label,scenario,scenario_label,indicator_short,indicator_description,mean_estimate
0,16,Philippines,2024,1000,HIV incidence rate,22,All Ages,1,Males,-1,Worse,HIV Incid,"Age-standardized rate of new HIV infections (per 1,000).",0.89095387088581
1,16,Philippines,2024,1000,HIV incidence rate,22,All Ages,1,Males,0,Reference,HIV Incid,"Age-standardized rate of new HIV infections (per 1,000).",0.870737421639326
2,16,Philippines,2024,1000,HIV incidence rate,22,All Ages,1,Males,1,Better,HIV Incid,"Age-standardized rate of new HIV infections (per 1,000).",0.830752250939683
3,16,Philippines,2024,1000,HIV incidence rate,22,All Ages,2,Females,-1,Worse,HIV Incid,"Age-standardized rate of new HIV infections (per 1,000).",0.203918485790304
4,16,Philippines,2024,1000,HIV incidence rate,22,All Ages,2,Females,0,Reference,HIV Incid,"Age-standardized rate of new HIV infections (per 1,000).",0.199384530704875
5,16,Philippines,2024,1000,HIV incidence rate,22,All Ages,2,Females,1,Better,HIV Incid,"Age-standardized rate of new HIV infections (per 1,000).",0.190364155321726
6,16,Philippines,2024,1000,HIV incidence rate,22,All Ages,3,Both sexes,-1,Worse,HIV Incid,"Age-standardized rate of new HIV infections (per 1,000).",0.551906773517401
7,16,Philippines,2024,1000,HIV incidence rate,22,All Ages,3,Both sexes,0,Reference,HIV Incid,"Age-standardized rate of new HIV infections (per 1,000).",0.539429524085296
8,16,Philippines,2024,1000,HIV incidence rate,22,All Ages,3,Both sexes,1,Better,HIV Incid,"Age-standardized rate of new HIV infections (per 1,000).",0.514725260600068
9,16,Philippines,2024,1001,Tuberculosis incidence rate,22,All Ages,1,Males,-1,Worse,TB Incid,"Age-standardized rate of tuberculosis cases (per 100,000).",417.8508190370849
10,16,Philippines,2024,1001,Tuberculosis incidence rate,22,All Ages,1,Males,0,Reference,TB Incid,"Age-standardized rate of tuberculosis cases (per 100,000).",417.8508190370849
11,16,Philippines,2024,1001,Tuberculosis incidence rate,22,All Ages,1,Males,1,Better,TB Incid,"Age-standardized rate of tuberculosis cases (per 100,000).",358.81934388144464
12,16,Philippines,2024,1001,Tuberculosis incidence rate,22,All Ages,2,Females,-1,Worse,TB Incid,"Age-standardized rate of tuberculosis cases (per 100,000).",249.24556297410064
13,16,Philippines,2024,1001,Tuberculosis incidence rate,22,All Ages,2,Females,0,Reference,TB Incid,"Age-standardized rate of tuberculosis cases (per 100,000).",249.23883472212663
14,16,Philippines,2024,1001,Tuberculosis incidence rate,22,All Ages,2,Females,1,Better,TB Incid,"Age-standardized rate of tuberculosis cases (per 100,000).",209.6272352290608
15,16,Philippines,2024,1001,Tuberculosis incidence rate,22,All Ages,3,Both sexes,-1,Worse,TB Incid,"Age-standardized rate of tuberculosis cases (per 100,000).",334.7129095211326
16,16,Philippines,2024,1001,Tuberculosis incidence rate,22,All Ages,3,Both sexes,0,Reference,TB Incid,"Age-standardized rate of tuberculosis cases (per 100,000).",334.7129095211326
17,16,Philippines,2024,1001,Tuberculosis incidence rate,22,All Ages,3,Both sexes,1,Better,TB Incid,"Age-standardized rate of tuberculosis cases (per 100,000).",285.2593507778312
18,16,Philippines,2024,1002,Malaria incidence rate,22,All Ages,1,Males,-1,Worse,Malaria Incid,"Age-standardized rate of malaria cases (per 1,000).",0.124853300730854
19,16,Philippines,2024,1002,Malaria incidence rate,22,All Ages,1,Males,0,Reference,Malaria Incid,"Age-standardized rate of malaria cases (per 1,000).",0.0873525817448678
20,16,Philippines,2024,1002,Malaria incidence rate,22,All Ages,1,Males,1,Better,Malaria Incid,"Age-standardized rate of malaria cases (per 1,000).",0.08636019022705
21,16,Philippines,2024,1002,Malaria incidence rate,22,All Ages,2,Females,-1,Worse,Malaria Incid,"Age-standardized rate of malaria cases (per 1,000).",0.1249893761311384
22,16,Philippines,2024,1002,Malaria incidence rate,22,All Ages,2,Females,0,Reference,Malaria Incid,"Age-standardized rate of malaria cases (per 1,000).",0.0874470295890992
23,16,Philippines,2024,1002,Malaria incidence rate,22,All Ages,2,Females,1,Better,Malaria Incid,"Age-standardized rate of malaria cases (per 1,000).",0.0864531480803833
24,16,Philippines,2024,1002,Malaria incidence rate,22,All Ages,3,Both sexes,-1,Worse,Malaria Incid,"Age-standardized rate of malaria cases (per 1,000).",0.1249208877460655
25,16,Philippines,2024,1002,Malaria incidence rate,22,All Ages,3,Both sexes,0,Reference,Malaria Incid,"Age-standardized rate of malaria cases (per 1,000).",0.087399493384999
26,16,Philippines,2024,1002,Malaria incidence rate,22,All Ages,3,Both sexes,1,Better,Malaria Incid,"Age-standardized rate of malaria cases (per 1,000).",0.08640636163563
27,16,Philippines,2024,1004,Prevalence of 15 neglected tropical diseases,22,All Ages,1,Males,-1,Worse,NTD Prev,Age-standardized prevalence of 15 neglected tropical diseases (NTDs). Prevalence estimates reported here may exceed 100% as they reflect the sum of prevalent cases of 15 NTDs.,8581.96849947178
28,16,Philippines,2024,1004,Prevalence of 15 neglected tropical diseases,22,All Ages,1,Males,0,Reference,NTD Prev,Age-standardized prevalence of 15 neglected tropical diseases (NTDs). Prevalence estimates reported here may exceed 100% as they reflect the sum of prevalent cases of 15 NTDs.,7359.773200377526
29,16,Philippines,2024,1004,Prevalence of 15 neglected tropical diseases,22,All Ages,1,Males,1,Better,NTD Prev,Age-standardized prevalence of 15 neglected tropical diseases (NTDs). Prevalence estimates reported here may exceed 100% as they reflect the sum of prevalent cases of 15 NTDs.,7006.480988635423
30,16,Philippines,2024,1004,Prevalence of 15 neglected tropical diseases,22,All Ages,2,Females,-1,Worse,NTD Prev,Age-standardized prevalence of 15 neglected tropical diseases (NTDs). Prevalence estimates reported here may exceed 100% as they reflect the sum of prevalent cases of 15 NTDs.,7924.727349572247
31,16,Philippines,2024,1004,Prevalence of 15 neglected tropical diseases,22,All Ages,2,Females,0,Reference,NTD Prev,Age-standardized prevalence of 15 neglected tropical diseases (NTDs). Prevalence estimates reported here may exceed 100% as they reflect the sum of prevalent cases of 15 NTDs.,6796.6543030352
32,16,Philippines,2024,1004,Prevalence of 15 neglected tropical diseases,22,All Ages,2,Females,1,Better,NTD Prev,Age-standardized prevalence of 15 neglected tropical diseases (NTDs). Prevalence estimates reported here may exceed 100% as they reflect the sum of prevalent cases of 15 NTDs.,6497.955625464214
33,16,Philippines,2024,1004,Prevalence of 15 neglected tropical diseases,22,All Ages,3,Both sexes,-1,Worse,NTD Prev,Age-standardized prevalence of 15 neglected tropical diseases (NTDs). Prevalence estimates reported here may exceed 100% as they reflect the sum of prevalent cases of 15 NTDs.,8257.913804254125
34,16,Philippines,2024,1004,Prevalence of 15 neglected tropical diseases,22,All Ages,3,Both sexes,0,Reference,NTD Prev,Age-standardized prevalence of 15 neglected tropical diseases (NTDs). Prevalence estimates reported here may exceed 100% as they reflect the sum of prevalent cases of 15 NTDs.,7082.138125025614
35,16,Philippines,2024,1004,Prevalence of 15 neglected tropical diseases,22,All Ages,3,Both sexes,1,Better,NTD Prev,Age-standardized prevalence of 15 neglected tropical diseases (NTDs). Prevalence estimates reported here may exceed 100% as they reflect the sum of prevalent cases of 15 NTDs.,6755.772328634284
36,16,Philippines,2024,1035,Met need for family planning with modern contraception methods,24,15-49 years,2,Females,-1,Worse,"FP Need Met, Mod",Proportion of women of reproductive age (15 to 49 years) who have their need for family planning met with modern contraception methods.,58.746625386296365
37,16,Philippines,2024,1035,Met need for family planning with modern contraception methods,24,15-49 years,2,Females,0,Reference,"FP Need Met, Mod",Proportion of women of reproductive age (15 to 49 years) who have their need for family planning met with modern contraception methods.,60.58662665565944
38,16,Philippines,2024,1035,Met need for family planning with modern contraception methods,24,15-49 years,2,Females,1,Better,"FP Need Met, Mod",Proportion of women of reproductive age (15 to 49 years) who have their need for family planning met with modern contraception methods.,60.83398323715323
39,16,Philippines,2024,1037,"Coverage of essential health services, as defined by the UHC service coverage index",22,All Ages,3,Both sexes,-1,Worse,UHC Index,"Coverage of essential health services, as defined by a universal health coverage (UHC) service coverage index of based on 9 tracer interventions and risk-standardized death rates or mortality-to-incidence ratios from 32 causes amenable to healthcare.",53.4166740019509
40,16,Philippines,2024,1037,"Coverage of essential health services, as defined by the UHC service coverage index",22,All Ages,3,Both sexes,0,Reference,UHC Index,"Coverage of essential health services, as defined by a universal health coverage (UHC) service coverage index of based on 9 tracer interventions and risk-standardized death rates or mortality-to-incidence ratios from 32 causes amenable to healthcare.",54.0389136759476
41,16,Philippines,2024,1037,"Coverage of essential health services, as defined by the UHC service coverage index",22,All Ages,3,Both sexes,1,Better,UHC Index,"Coverage of essential health services, as defined by a universal health coverage (UHC) service coverage index of based on 9 tracer interventions and risk-standardized death rates or mortality-to-incidence ratios from 32 causes amenable to healthcare.",54.7547849922858
