,location_id,location_name,year_id,indicator_id,indicator_name,age_group_id,age_group_name,sex_id,sex_label,scenario,scenario_label,indicator_short,indicator_description,mean_estimate
0,69,Singapore,2024,1000,HIV incidence rate,22,All Ages,1,Males,-1,Worse,HIV Incid,"Age-standardized rate of new HIV infections (per 1,000).",0.0354295395741156
1,69,Singapore,2024,1000,HIV incidence rate,22,All Ages,1,Males,0,Reference,HIV Incid,"Age-standardized rate of new HIV infections (per 1,000).",0.0294899227749944
2,69,Singapore,2024,1000,HIV incidence rate,22,All Ages,1,Males,1,Better,HIV Incid,"Age-standardized rate of new HIV infections (per 1,000).",0.0213653167261537
3,69,Singapore,2024,1000,HIV incidence rate,22,All Ages,2,Females,-1,Worse,HIV Incid,"Age-standardized rate of new HIV infections (per 1,000).",0.0084001837545931
4,69,Singapore,2024,1000,HIV incidence rate,22,All Ages,2,Females,0,Reference,HIV Incid,"Age-standardized rate of new HIV infections (per 1,000).",0.0069071009159042
5,69,Singapore,2024,1000,HIV incidence rate,22,All Ages,2,Females,1,Better,HIV Incid,"Age-standardized rate of new HIV infections (per 1,000).",0.0054669706228638
6,69,Singapore,2024,1000,HIV incidence rate,22,All Ages,3,Both sexes,-1,Worse,HIV Incid,"Age-standardized rate of new HIV infections (per 1,000).",0.0221721338594041
7,69,Singapore,2024,1000,HIV incidence rate,22,All Ages,3,Both sexes,0,Reference,HIV Incid,"Age-standardized rate of new HIV infections (per 1,000).",0.0184134608138561
8,69,Singapore,2024,1000,HIV incidence rate,22,All Ages,3,Both sexes,1,Better,HIV Incid,"Age-standardized rate of new HIV infections (per 1,000).",0.013567468124376
9,69,Singapore,2024,1001,Tuberculosis incidence rate,22,All Ages,1,Males,-1,Worse,TB Incid,"Age-standardized rate of tuberculosis cases (per 100,000).",47.84639079669014
10,69,Singapore,2024,1001,Tuberculosis incidence rate,22,All Ages,1,Males,0,Reference,TB Incid,"Age-standardized rate of tuberculosis cases (per 100,000).",44.60160373339296
11,69,Singapore,2024,1001,Tuberculosis incidence rate,22,All Ages,1,Males,1,Better,TB Incid,"Age-standardized rate of tuberculosis cases (per 100,000).",43.14047582535948
